Time $t$ [s]	$T_{ref}$	$T_{all}$
2.6851	1.466531207	1.601318402
2.6852	1.466531207	1.601318402
2.6853	1.466531207	1.601318402
2.6854	1.466531207	1.601318402
2.6855	1.466531207	1.601318402
2.6856	1.466531207	1.603889111
2.6857	1.466531207	1.603889111
2.6858	1.466531207	1.603889111
2.6859	1.466531207	1.603889111
2.686	1.466531207	1.603889111
2.6861	1.466531207	1.575729055
2.6862	1.466531207	1.575729055
2.6863	1.466531207	1.575729055
2.6864	1.466531207	1.575729055
2.6865	1.466531207	1.575729055
2.6866	1.466531207	1.548036913
2.6867	1.466531207	1.548036913
2.6868	1.466531207	1.548036913
2.6869	1.466531207	1.548036913
2.687	1.466531207	1.548036913
2.6871	1.466531207	1.516131825
2.6872	1.466531207	1.516131825
2.6873	1.466531207	1.516131825
2.6874	1.466531207	1.516131825
2.6875	1.466531207	1.516131825
2.6876	1.466531207	1.480900831
2.6877	1.466531207	1.480900831
2.6878	1.466531207	1.480900831
2.6879	1.466531207	1.480900831
2.688	1.466531207	1.480900831
2.6881	1.466531207	1.44549249
2.6882	1.466531207	1.44549249
2.6883	1.466531207	1.44549249
2.6884	1.466531207	1.44549249
2.6885	1.466531207	1.44549249
2.6886	1.466531207	1.412079925
2.6887	1.466531207	1.412079925
2.6888	1.466531207	1.412079925
2.6889	1.466531207	1.412079925
2.689	1.466531207	1.412079925
2.6891	1.466531207	1.382052104
2.6892	1.466531207	1.382052104
2.6893	1.466531207	1.382052104
2.6894	1.466531207	1.382052104
2.6895	1.466531207	1.382052104
2.6896	1.466531207	1.354066103
2.6897	1.466531207	1.354066103
2.6898	1.466531207	1.354066103
2.6899	1.466531207	1.354066103
2.69	1.466531207	1.354066103
2.6901	1.466531207	1.324411148
2.6902	1.466531207	1.324411148
2.6903	1.466531207	1.324411148
2.6904	1.466531207	1.324411148
2.6905	1.466531207	1.324411148
2.6906	1.466531207	1.324346072
2.6907	1.466531207	1.324346072
2.6908	1.466531207	1.324346072
2.6909	1.466531207	1.324346072
2.691	1.466531207	1.324346072
2.6911	1.466531207	1.324281284
2.6912	1.466531207	1.324281284
2.6913	1.466531207	1.324281284
2.6914	1.466531207	1.324281284
2.6915	1.466531207	1.324281284
2.6916	1.466531207	1.324216216
2.6917	1.466531207	1.324216216
2.6918	1.466531207	1.324216216
2.6919	1.466531207	1.324216216
2.692	1.466531207	1.324216216
2.6921	1.466531207	1.324151435
2.6922	1.466531207	1.324151435
2.6923	1.466531207	1.324151435
2.6924	1.466531207	1.324151435
2.6925	1.466531207	1.324151435
2.6926	1.466531207	1.324086373
2.6927	1.466531207	1.324086373
2.6928	1.466531207	1.324086373
2.6929	1.466531207	1.324086373
2.693	1.466531207	1.324086373
2.6931	1.466531207	1.324021599
2.6932	1.466531207	1.324021599
2.6933	1.466531207	1.324021599
2.6934	1.466531207	1.324021599
2.6935	1.466531207	1.324021599
2.6936	1.466531207	1.323956544
2.6937	1.466531207	1.323956544
2.6938	1.466531207	1.323956544
2.6939	1.466531207	1.323956544
2.694	1.466531207	1.323956544
2.6941	1.466531207	1.325064411
2.6942	1.466531207	1.325064411
2.6943	1.466531207	1.325064411
2.6944	1.466531207	1.325064411
2.6945	1.466531207	1.325064411
2.6946	1.466531207	1.332478182
2.6947	1.466531207	1.332478182
2.6948	1.466531207	1.332478182
2.6949	1.466531207	1.332478182
2.695	1.466531207	1.332478182
2.6951	1.466531207	1.345179963
2.6952	1.466531207	1.345179963
2.6953	1.466531207	1.345179963
2.6954	1.466531207	1.345179963
2.6955	1.466531207	1.345179963
2.6956	1.466531207	1.361427259
2.6957	1.466531207	1.361427259
2.6958	1.466531207	1.361427259
2.6959	1.466531207	1.361427259
2.696	1.466531207	1.361427259
2.6961	1.466531207	1.379078026
2.6962	1.466531207	1.379078026
2.6963	1.466531207	1.379078026
2.6964	1.466531207	1.379078026
2.6965	1.466531207	1.379078026
2.6966	1.466531207	1.396617885
2.6967	1.466531207	1.396617885
2.6968	1.466531207	1.396617885
2.6969	1.466531207	1.396617885
2.697	1.466531207	1.396617885
2.6971	1.466531207	1.414989144
2.6972	1.466531207	1.414989144
2.6973	1.466531207	1.414989144
2.6974	1.466531207	1.414989144
2.6975	1.466531207	1.414989144
2.6976	1.466531207	1.437331185
2.6977	1.466531207	1.437331185
2.6978	1.466531207	1.437331185
2.6979	1.466531207	1.437331185
2.698	1.466531207	1.437331185
2.6981	1.466531207	1.463295846
2.6982	1.466531207	1.463295846
2.6983	1.466531207	1.463295846
2.6984	1.466531207	1.463295846
2.6985	1.466531207	1.463295846
2.6986	1.466531207	1.491221475
2.6987	1.466531207	1.491221475
2.6988	1.466531207	1.491221475
2.6989	1.466531207	1.491221475
2.699	1.466531207	1.491221475
2.6991	1.466531207	1.519270586
2.6992	1.466531207	1.519270586
2.6993	1.466531207	1.519270586
2.6994	1.466531207	1.519270586
2.6995	1.466531207	1.519270586
2.6996	1.466531207	1.545496253
2.6997	1.466531207	1.545496253
2.6998	1.466531207	1.545496253
2.6999	1.466531207	1.545496253
2.7	1.466531207	1.545496253
2.7001	1.466531207	1.564022128
2.7002	1.466531207	1.564022128
2.7003	1.466531207	1.564022128
2.7004	1.466531207	1.564022128
2.7005	1.466531207	1.564022128
2.7006	1.466531207	1.576304065
2.7007	1.466531207	1.576304065
2.7008	1.466531207	1.576304065
2.7009	1.466531207	1.576304065
2.701	1.466531207	1.576304065
2.7011	1.466531207	1.588427699
2.7012	1.466531207	1.588427699
2.7013	1.466531207	1.588427699
